Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee,
0x870de6415f84b59ffb5fa29cd30f4268a593c514fc9cdcb62fbb46d36fbcb57d,Success,ERC-20,Transfer,Transfer,22548716,12 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"131,824.56","$6,789.89",Ultra Token(UOS),0.00006558
0xc87c073490290257988be0c84255d4625b7638efdf8f55dbfcb8eb10c658b3f5,Success,ERC-20,Transfer,Transfer,22546345,12 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"58,802.65","$3,028.75",Ultra Token(UOS),0.00014657
0x5076904062599409cf25cce9caa13a2412cfb89c768a919292e16a95f236233c,Success,ERC-20,Transfer,Transfer,22546338,12 days ago,0xb4669b10d923c2d141f2eccf382bbe06ceedf82b, Bithumb Treasury Routing Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"473,870.21","$24,407.63",Ultra Token(UOS),0.00013664
0x3a4cc98d6a4ebf79bd45ace6d1e4b8515668abf83355ebd95ad501130f71603d,Success,ERC-20,Transfer,Transfer,22546329,12 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"124,808.04","$6,428.49",Ultra Token(UOS),0.00013409
0x33608e0df0453393c942169806d7f2f49601c340cf43712647cc56b8fce97670,Success,ERC-20,Transfer,Transfer,22533220,14 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"114,908","$5,918.57",Ultra Token(UOS),0.00013507
0x9e3eacbd8160a252db934bc4cbf29aba77ae1a568431446074f01b8548d5d4ff,Success,ERC-20,Transfer,Transfer,22533219,14 days ago,0x6889ac487D745Ee7e44C6B442497DE562b0ff28E, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"43,176.07","$2,223.87",Ultra Token(UOS),0.00013153
0xe03ac25e5667e0e45c139e91daec76da6395c0bc410f0f791ded05c3a2b2a106,Success,ERC-20,Transfer,Transfer,22533218,14 days ago,0xe072085568bf4FC339E2FAdef56730982411F1C5, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"56,160.78","$2,892.67",Ultra Token(UOS),0.00013246
0xb293fb93b1bafe2df0a636c5c49b8632dd5dffc76d2ed594709f20b5e9e5a803,Success,ERC-20,Transfer,Transfer,22532140,14 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"34,429","$1,773.33",Ultra Token(UOS),0.00025593
0x3c2c418409d0459c406e1a0e11f591ac667e8cae95841812a02638672e46ba18,Success,ERC-20,Transfer,Transfer,22521344,16 days ago,0x2eDC51b333091D0617A3d80A4f98132E74d815eF, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"100,044.52","$5,152.99",Ultra Token(UOS),0.00006485
0x802c859640448eb5971931b6082084bf5320c71e2855acf286f1dae94ebcb5d1,Success,ERC-20,Transfer,Transfer,22521340,16 days ago,0x5Ef071Ea0863F4983B187803De7A86D218B45E58, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"14,766.39",$760.57,Ultra Token(UOS),0.00006841
0x6326fb549a0770102c6d2191f64f56dde2f0cd7c2a53aa59b7985f8a751fbcaa,Success,ERC-20,Transfer,Transfer,22521336,16 days ago,0xeCeC5fC62E5378424B974A0e6E4D65893490f8C0, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"14,169.87",$729.85,Ultra Token(UOS),0.00006843
